;data;tipo_di_ricovero;totali_tipi_ricovero
766;21/03/2020;non intensiva;494
767;22/03/2020;non intensiva;557
768;23/03/2020;non intensiva;592
769;24/03/2020;non intensiva;575
770;25/03/2020;non intensiva;577
771;26/03/2020;non intensiva;518
772;27/03/2020;non intensiva;513
773;28/03/2020;non intensiva;529
774;29/03/2020;non intensiva;531
775;30/03/2020;non intensiva;523
776;31/03/2020;non intensiva;492
777;01/04/2020;non intensiva;532
778;02/04/2020;non intensiva;527
779;03/04/2020;non intensiva;533
780;04/04/2020;non intensiva;542
781;05/04/2020;non intensiva;521
782;06/04/2020;non intensiva;522
783;07/04/2020;non intensiva;487
784;08/04/2020;non intensiva;495
785;09/04/2020;non intensiva;463
786;10/04/2020;non intensiva;452
787;11/04/2020;non intensiva;477
788;12/04/2020;non intensiva;475
789;13/04/2020;non intensiva;495
790;14/04/2020;non intensiva;471
791;15/04/2020;non intensiva;434
792;16/04/2020;non intensiva;405
793;17/04/2020;non intensiva;393
794;18/04/2020;non intensiva;368
795;19/04/2020;non intensiva;372
796;20/04/2020;non intensiva;372
797;21/04/2020;non intensiva;372
798;22/04/2020;non intensiva;339
799;23/04/2020;non intensiva;333
800;24/04/2020;non intensiva;314
801;25/04/2020;non intensiva;313
802;26/04/2020;non intensiva;296
803;27/04/2020;non intensiva;290
804;28/04/2020;non intensiva;296
805;29/04/2020;non intensiva;284
806;30/04/2020;non intensiva;274
807;01/05/2020;non intensiva;229
808;02/05/2020;non intensiva;221
809;03/05/2020;non intensiva;222
810;04/05/2020;non intensiva;215
811;05/05/2020;non intensiva;219
